name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_two,type
Rayalaseema Ruchulu,Yes,No,3.2,0,BTM,Casual Dining,others,700.0,Dine-out
Owl's Kitchen,No,No,3.1,44,BTM,Delivery,"North Indian, Chinese",500.0,Delivery
The Brekkie Shop,Yes,No,3.2,65,MG Road,others,others,300.0,Delivery
The Biriyani Pedia,Yes,No,4.0,59,BTM,Quick Bites,"Biryani, North Indian",300.0,Dine-out
OPUS Club,No,Yes,4.5,1508,Sarjapur Road,others,others,1900.0,Dine-out
Limra Hotel,Yes,No,3.3,26,BTM,Quick Bites,"Chinese, North Indian",300.0,Delivery
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,Cafe,500.0,Delivery
Pai Vihar,No,No,3.2,41,City Market,Quick Bites,others,400.0,Dine-out
Caramel Shake,Yes,No,4.1,0,BTM,others,others,200.0,Delivery
Madurai Canteen,No,No,3.4,0,Whitefield,Quick Bites,others,200.0,Delivery
Magic Biryani,No,No,3.5,0,Richmond Road,Quick Bites,"Biryani, Kebab",150.0,Dine-out
Chaat Chatore,No,No,3.1,5,Bannerghatta Road,Quick Bites,Fast Food,300.0,Dine-out
Mahesh Friends Food Center,Yes,No,2.9,136,BTM,Quick Bites,"Chinese, North Indian",300.0,Delivery
Jigarthanda,No,No,3.6,11,BTM,Quick Bites,others,200.0,Dine-out
Cold Stone Creamery,Yes,No,3.9,99,Bannerghatta Road,Dessert Parlor,"Ice Cream, Desserts",400.0,Delivery
K V Canteen,No,No,3.5,17,Commercial Street,Quick Bites,South Indian,100.0,Dine-out
Rolls On Wheels,No,No,3.4,16,BTM,Quick Bites,Fast Food,200.0,Dine-out
Rajvardhan Foods,Yes,No,3.9,314,Jayanagar,Quick Bites,others,300.0,Delivery
Savoury Restaurant,Yes,No,3.9,421,BTM,Casual Dining,others,800.0,Delivery
BG's Poolside Bar & Grill,No,Yes,4.1,109,Bellandur,"Casual Dining, Bar",others,1800.0,Pubs and bars
Izakaya Gastro Pub,Yes,Yes,3.8,128,Whitefield,others,others,1200.0,Pubs and bars
China South,Yes,No,3.5,0,Brigade Road,Casual Dining,others,600.0,Delivery
New Biryani Mane,No,No,3.7,0,Jayanagar,Quick Bites,"South Indian, Biryani",400.0,Delivery
Masala Dani - The Paul,No,No,3.7,56,Domlur,Casual Dining,others,1800.0,Dine-out
Cilantro,Yes,Yes,4.0,281,Koramangala 4th Block,"Casual Dining, Bar",others,1500.0,Buffet
Bihari Hotel,No,No,3.4,0,Brigade Road,Quick Bites,others,200.0,Dine-out
Casa Piccosa,Yes,Yes,4.1,847,JP Nagar,"Casual Dining, Bar",others,1100.0,Drinks & nightlife
Bhukkad,No,No,3.1,7,Bannerghatta Road,Quick Bites,others,250.0,Dine-out
KittyKo,No,No,4.1,181,Seshadripuram,others,others,3000.0,Pubs and bars
RR Taste Of Bangalore,No,No,3.4,0,Majestic,Quick Bites,South Indian,200.0,Dine-out
Malabar Treat,Yes,No,3.4,6,Koramangala 1st Block,Quick Bites,others,500.0,Dine-out
Mota Bawarchi,No,No,4.0,0,Basavanagudi,Quick Bites,others,300.0,Delivery
Cocoa Bakes,Yes,No,3.6,0,Jayanagar,Bakery,"Bakery, Desserts",350.0,Delivery
Nutri Fit,Yes,No,3.4,5,HSR,"Takeaway, Delivery",others,300.0,Delivery
Spicy Tandoor,No,No,3.8,0,Banashankari,Quick Bites,North Indian,150.0,Dine-out
Jalsa,Yes,Yes,4.1,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800.0,Buffet
Smoor,Yes,No,4.6,1732,Indiranagar,others,others,900.0,Delivery
Vennela Andhra Meals,Yes,No,3.0,23,Jayanagar,Quick Bites,Andhra,400.0,Dine-out
China Pearl,Yes,Yes,4.4,1854,Koramangala 6th Block,Casual Dining,Chinese,1100.0,Dine-out
7 Plates,Yes,No,3.9,169,Frazer Town,Quick Bites,others,600.0,Delivery
Protein Grillhouse,Yes,Yes,4.2,179,Jayanagar,Casual Dining,others,800.0,Delivery
Hiyar Majhe Kolkata,Yes,No,4.0,245,BTM,Quick Bites,others,400.0,Dine-out
Dunkin' Donuts,Yes,No,4.1,1079,Brigade Road,others,others,550.0,Dine-out
You Mee,Yes,No,4.7,277,Whitefield,Casual Dining,others,2000.0,Delivery
H3O,No,No,3.3,4,Koramangala 4th Block,others,"North Indian, Chinese",1000.0,Dine-out
Kerala Mess. SIJI's MESS,No,No,3.6,0,Ejipura,others,Kerala,100.0,Delivery
Amaravati,No,No,3.6,39,BTM,Quick Bites,"North Indian, Chinese",400.0,Dine-out
Tunday Kababi,Yes,No,3.9,1143,Koramangala 5th Block,Casual Dining,others,500.0,Dine-out
Tasty Food,Yes,No,3.7,0,Whitefield,Quick Bites,"North Indian, Chinese",300.0,Dine-out
Karnataka Bhel House,No,No,3.9,65,Jayanagar,Quick Bites,Street Food,100.0,Dine-out
Flavors of India,Yes,Yes,3.7,37,Bellandur,Casual Dining,others,1500.0,Buffet
Mycakeshop,Yes,No,3.6,0,BTM,Bakery,"Bakery, Desserts",300.0,Desserts
Dyu Art Cafe,No,No,4.5,3847,Koramangala 5th Block,Cafe,others,800.0,Cafes
KKR Foodies,Yes,No,3.7,37,BTM,Casual Dining,others,400.0,Delivery
